Summary_Metric,Voice_Metric,Correlation,P_Value,Significant,Abs_Correlation
Semantic_Similarity,neutral_mean,-0.47857142857142854,0.07113080825563321,No,0.47857142857142854
Semantic_Similarity,tremor_cv,0.47857142857142854,0.07113080825563321,No,0.47857142857142854
Topic_Coverage,stress_std,-0.476499319926856,0.07253929816631913,No,0.476499319926856
Topic_Coverage,harmonic_ratio_max_change,0.476499319926856,0.07253929816631913,No,0.476499319926856
Topic_Coverage,stress_variance,-0.476499319926856,0.07253929816631913,No,0.476499319926856
Overall_Percentage,spectral_rolloff_trend_slope,-0.4758504930713768,0.07298442086553307,No,0.4758504930713768
Topic_Coverage,surprise_total_change,0.47468753544044207,0.0737871632228498,No,0.47468753544044207
Semantic_Similarity,silence_ratio_max_change,-0.4745968086182263,0.07385005357391233,No,0.4745968086182263
Overall_Percentage,spectral_rolloff_trend_direction,-0.47330152853922064,0.07475212032614127,No,0.47330152853922064
Overall_Percentage,spectral_bandwidth_trend_direction,-0.47330152853922064,0.07475212032614127,No,0.47330152853922064
Topic_Coverage,speech_rate_range,0.4726419340534619,0.0752145024846819,No,0.4726419340534619
Overall_Percentage,sad_trend_slope,-0.47227266981520105,0.07547425346742075,No,0.47227266981520105
Semantic_Similarity,pitch_std_cv,0.47142857142857136,0.07607042915033121,No,0.47142857142857136
Topic_Coverage,surprise_trend_slope,-0.4710639664676143,0.07632898491991301,No,0.4710639664676143
Topic_Coverage,silence_ratio_trend_slope,-0.4710639664676143,0.07632898491991301,No,0.4710639664676143
Overall_Percentage,angry_mean_change,0.4704837581871131,0.07674172979859863,No,0.4704837581871131
Semantic_Similarity,fear_range,0.4678571428571427,0.0786302311543806,No,0.4678571428571427
Factual_Accuracy,pitch_range_trend_direction,-0.4677071733467427,0.07873904941212914,No,0.4677071733467427
Factual_Accuracy,pitch_std_trend_direction,-0.4677071733467427,0.07873904941212914,No,0.4677071733467427
Topic_Coverage,sad_trend_slope,-0.4674403974947865,0.07893288843410631,No,0.4674403974947865
Overall_Percentage,dominance_trend_slope,-0.4633281116747616,0.08196413141122064,No,0.4633281116747616
Factual_Accuracy,valence_max,0.4629100498862757,0.08227686582718156,No,0.4629100498862757
Factual_Accuracy,tremor_trend_slope,-0.4629100498862757,0.08227686582718156,No,0.4629100498862757
Factual_Accuracy,arousal_max,0.4629100498862757,0.08227686582718156,No,0.4629100498862757
Factual_Accuracy,pitch_std_max_change,-0.4629100498862757,0.08227686582718156,No,0.4629100498862757
Factual_Accuracy,surprise_mean_change,0.4629100498862757,0.08227686582718156,No,0.4629100498862757
Factual_Accuracy,happy_mean_change,0.4629100498862757,0.08227686582718156,No,0.4629100498862757
Factual_Accuracy,pitch_variation_range,-0.4629100498862757,0.08227686582718156,No,0.4629100498862757
Factual_Accuracy,fear_trend_slope,-0.4629100498862757,0.08227686582718156,No,0.4629100498862757
Semantic_Similarity,neutral_median,-0.4623685613625618,0.08268319192290849,No,0.4623685613625618
Overall_Percentage,fear_median,0.4578104326054258,0.08616030658033537,No,0.4578104326054258
Semantic_Similarity,pitch_variation_std,0.457142857142857,0.08667812662416982,No,0.457142857142857
Semantic_Similarity,pitch_variation_variance,0.457142857142857,0.08667812662416982,No,0.457142857142857
Overall_Percentage,speech_rate_mean,0.45438355353432225,0.08884185480215062,No,0.45438355353432225
Topic_Coverage,dominance_trend_slope,-0.45294612160347536,0.08998403595220518,No,0.45294612160347536
Overall_Percentage,surprise_total_change,0.4525946419062342,0.09026489248581691,No,0.4525946419062342
Topic_Coverage,spectral_bandwidth_median,0.4509359242583272,0.09159868303898623,No,0.4509359242583272
Overall_Percentage,tremor_total_change,0.45080573027814647,0.0917039584548861,No,0.45080573027814647
Overall_Percentage,spectral_centroid_median,0.4470384224264746,0.0947873093072513,No,0.4470384224264746
Semantic_Similarity,arousal_range,0.4464285714285714,0.09529321315352625,No,0.4464285714285714
Topic_Coverage,speech_rate_trend_slope,-0.4456989836578197,0.09590093588128112,No,0.4456989836578197
Overall_Percentage,stress_total_change,0.44543899539388276,0.09611815433338976,No,0.44543899539388276
Topic_Coverage,surprise_min,-0.44307094023030213,0.09811258355077866,No,0.44307094023030213
Semantic_Similarity,spectral_bandwidth_trend_direction,-0.4409585518440984,0.09991602276086503,No,0.4409585518440984
Semantic_Similarity,spectral_rolloff_trend_direction,-0.4409585518440984,0.09991602276086503,No,0.4409585518440984
Overall_Percentage,valence_trend_slope,-0.44007226050961906,0.10067955617311734,No,0.44007226050961906
Semantic_Similarity,tremor_max,0.4392857142857142,0.10136057119347244,No,0.4392857142857142
Topic_Coverage,speech_rate_max,0.43918378082751663,0.10144906337047799,No,0.43918378082751663
Overall_Percentage,arousal_trend_slope,-0.43649443725344333,0.10380333448766738,No,0.43649443725344333
Semantic_Similarity,spectral_bandwidth_min,-0.4360537319446505,0.10419273428561962,No,0.4360537319446505
Overall_Percentage,spectral_centroid_trend_direction,-0.43378801621385615,0.10621077351772723,No,0.43378801621385615
Semantic_Similarity,harmonic_ratio_median,-0.4336945420532556,0.1062946096022096,No,0.4336945420532556
Topic_Coverage,surprise_median,0.43275302408662053,0.10714161831967542,No,0.43275302408662053
Topic_Coverage,stress_trend_direction,0.4314178062266459,0.10835084129175131,No,0.4314178062266459
Topic_Coverage,zero_crossing_rate_total_change,0.43120470776650854,0.10854470493720851,No,0.43120470776650854
Overall_Percentage,spectral_bandwidth_trend_slope,-0.4293387907410918,0.11025250117106832,No,0.4293387907410918
Semantic_Similarity,dominance_max,0.42857142857142855,0.11096021426087677,No,0.42857142857142855
Overall_Percentage,silence_ratio_median,0.42635756921492524,0.11301961986327197,No,0.42635756921492524
Topic_Coverage,angry_cv,-0.4257693543072668,0.11357121344806162,No,0.4257693543072668
Overall_Percentage,speech_rate_total_change,0.42576096748491604,0.11357909155719342,No,0.42576096748491604
Semantic_Similarity,spectral_centroid_max,-0.42499999999999993,0.11429547548052224,No,0.42499999999999993
Semantic_Similarity,zero_crossing_rate_trend_slope,0.42499999999999993,0.11429547548052224,No,0.42499999999999993
Factual_Accuracy,spectral_bandwidth_max_change,-0.4243342123957527,0.11492481241624569,No,0.4243342123957527
Factual_Accuracy,tremor_range,-0.4243342123957527,0.11492481241624569,No,0.4243342123957527
Factual_Accuracy,pitch_variation_max_change,-0.4243342123957527,0.11492481241624569,No,0.4243342123957527
Factual_Accuracy,pitch_variation_max,-0.4243342123957527,0.11492481241624569,No,0.4243342123957527
Factual_Accuracy,spectral_rolloff_cv,-0.4243342123957527,0.11492481241624569,No,0.4243342123957527
Factual_Accuracy,dominance_max,0.4243342123957527,0.11492481241624569,No,0.4243342123957527
Factual_Accuracy,stress_cv,-0.4243342123957527,0.11492481241624569,No,0.4243342123957527
Factual_Accuracy,arousal_max_change,0.4243342123957527,0.11492481241624569,No,0.4243342123957527
Factual_Accuracy,valence_mean,0.4243342123957527,0.11492481241624569,No,0.4243342123957527
Factual_Accuracy,pitch_variation_trend_slope,-0.4243342123957527,0.11492481241624569,No,0.4243342123957527
Factual_Accuracy,pitch_std_trend_slope,-0.4243342123957527,0.11492481241624569,No,0.4243342123957527
Factual_Accuracy,surprise_trend_slope,-0.4243342123957527,0.11492481241624569,No,0.4243342123957527
Topic_Coverage,pitch_mean_mean,0.42395756982085286,0.11528189262095392,No,0.42395756982085286
Topic_Coverage,harmonic_ratio_range,0.42395756982085286,0.11528189262095392,No,0.42395756982085286
Topic_Coverage,happy_max_change,-0.42395756982085286,0.11528189262095392,No,0.42395756982085286
Topic_Coverage,harmonic_ratio_max,0.42395756982085286,0.11528189262095392,No,0.42395756982085286
Semantic_Similarity,volume_mean_min,-0.42163873254152157,0.11749718041504577,No,0.42163873254152157
Topic_Coverage,spectral_rolloff_trend_slope,-0.41852221636161124,0.12052049574943413,No,0.41852221636161124
Semantic_Similarity,arousal_max_change,0.41785714285714276,0.1211725360218785,No,0.41785714285714276
Overall_Percentage,valence_variance,0.41681640934447667,0.12219773112507509,No,0.41681640934447667
