Summary_Metric,Fusion_Metric,Correlation,P_Value,Significant,Abs_Correlation
Factual_Accuracy,combined_arousal_cv,0.19287918745261487,0.49099819789044086,No,0.19287918745261487
Factual_Accuracy,combined_intensity_variance,-0.19287918745261487,0.49099819789044086,No,0.19287918745261487
Factual_Accuracy,combined_intensity_cv,-0.19287918745261487,0.49099819789044086,No,0.19287918745261487
Factual_Accuracy,combined_intensity_std,-0.19287918745261487,0.49099819789044086,No,0.19287918745261487
Overall_Percentage,arousal_modality_agreement,0.19141354420540344,0.4943612881447297,No,0.19141354420540344
Overall_Percentage,combined_intensity_range,-0.18783572094922768,0.5026162337324881,No,0.18783572094922768
Topic_Coverage,combined_valence_mean_change,0.18661380210063183,0.5054500977849107,No,0.18661380210063183
Topic_Coverage,fused_peak_intensity_max,-0.18480201761421794,0.50966553679215,No,0.18480201761421794
Overall_Percentage,combined_valence_cv,0.1842578976930519,0.5109346782012647,No,0.1842578976930519
Semantic_Similarity,fused_pct_time_tired,0.175,0.5327481481378592,No,0.175
Topic_Coverage,combined_intensity_min,0.17393131069573453,0.5352925427312101,No,0.17393131069573453
Overall_Percentage,combined_intensity_trend_direction,0.17041672065544347,0.5436980171128059,No,0.17041672065544347
Topic_Coverage,combined_pct_time_calm,0.1666841727500789,0.552687400902611,No,0.1666841727500789
Factual_Accuracy,combined_valence_trend_direction,-0.16666666666666669,0.5527297125967168,No,0.16666666666666669
Semantic_Similarity,fused_peak_intensity_mean,-0.16428571428571426,0.5584973732486012,No,0.16428571428571426
Semantic_Similarity,combined_time_in_tired,0.16428571428571426,0.5584973732486012,No,0.16428571428571426
Semantic_Similarity,combined_valence_trend_slope,0.16428571428571426,0.5584973732486012,No,0.16428571428571426
Semantic_Similarity,fused_peak_intensity_max,-0.1607142857142857,0.5671967045803448,No,0.1607142857142857
Semantic_Similarity,combined_intensity_max,-0.1607142857142857,0.5671967045803448,No,0.1607142857142857
Topic_Coverage,fused_pct_time_calm,0.1594370348044233,0.5703216304147107,No,0.1594370348044233
Semantic_Similarity,combined_intensity_std,-0.15714285714285714,0.5759526006037947,No,0.15714285714285714
Semantic_Similarity,combined_intensity_variance,-0.15714285714285714,0.5759526006037947,No,0.15714285714285714
Factual_Accuracy,fused_transition_rate,0.1543033499620919,0.5829538031976735,No,0.1543033499620919
Factual_Accuracy,combined_arousal_trend_slope,-0.1543033499620919,0.5829538031976735,No,0.1543033499620919
Factual_Accuracy,combined_arousal_std,0.1543033499620919,0.5829538031976735,No,0.1543033499620919
Factual_Accuracy,combined_valence_trend_slope,-0.1543033499620919,0.5829538031976735,No,0.1543033499620919
Factual_Accuracy,combined_valence_mean,0.1543033499620919,0.5829538031976735,No,0.1543033499620919
Factual_Accuracy,combined_arousal_variance,0.1543033499620919,0.5829538031976735,No,0.1543033499620919
Factual_Accuracy,combined_arousal_mean,0.1543033499620919,0.5829538031976735,No,0.1543033499620919
Factual_Accuracy,combined_valence_cv,0.1543033499620919,0.5829538031976735,No,0.1543033499620919
Semantic_Similarity,combined_arousal_trend_slope,-0.15357142857142855,0.5847640949410158,No,0.15357142857142855
Semantic_Similarity,combined_valence_range,0.15357142857142855,0.5847640949410158,No,0.15357142857142855
Overall_Percentage,combined_intensity_max,-0.15026857675938216,0.5929615813918572,No,0.15026857675938216
Semantic_Similarity,combined_intensity_min,-0.15,0.5936302027425882,No,0.15
Topic_Coverage,fused_dominant_emotion_strength,0.146754543399526,0.6017336026483653,No,0.146754543399526
Overall_Percentage,fused_pct_time_tired,-0.14669075350320634,0.6018933145726064,No,0.14669075350320634
Overall_Percentage,combined_intensity_mean_change,-0.14490184187511848,0.6063790661173243,No,0.14490184187511848
Semantic_Similarity,combined_arousal_min,0.14285714285714282,0.6115222287644655,No,0.14285714285714282
Overall_Percentage,fused_time_in_stressed,0.1414503700242602,0.6150705986911766,No,0.1414503700242602
Overall_Percentage,combined_arousal_variance,-0.14132401861894273,0.6153896901194886,No,0.14132401861894273
Overall_Percentage,combined_arousal_std,-0.14132401861894273,0.6153896901194886,No,0.14132401861894273
Topic_Coverage,fused_time_in_stressed,0.14053883486805974,0.617374047366022,No,0.14053883486805974
Topic_Coverage,combined_valence_mean,0.1395074054538704,0.6199844639846852,No,0.1395074054538704
Topic_Coverage,combined_valence_median,0.1395074054538704,0.6199844639846852,No,0.1395074054538704
Overall_Percentage,combined_valence_min,-0.13595728373467905,0.6290014486908408,No,0.13595728373467905
Overall_Percentage,combined_time_in_stressed,0.1341683721065912,0.6335637188020524,No,0.1341683721065912
Topic_Coverage,combined_valence_max,-0.13407205199462868,0.63380971414526,No,0.13407205199462868
Overall_Percentage,combined_valence_max,-0.13237946047850332,0.6381382713649181,No,0.13237946047850332
Topic_Coverage,combined_time_in_stressed,0.1322602675082148,0.6384435012384747,No,0.1322602675082148
Semantic_Similarity,combined_arousal_trend_direction,0.13093073414159542,0.6418518188801542,No,0.13093073414159542
Overall_Percentage,fused_peak_intensity_mean,-0.13059054885041543,0.6427249691160556,No,0.13059054885041543
Overall_Percentage,fused_time_in_tired,0.1252238139661518,0.6565565455760842,No,0.1252238139661518
Overall_Percentage,combined_valence_range,0.1252238139661518,0.6565565455760842,No,0.1252238139661518
Overall_Percentage,combined_valence_variance,0.12343490233806388,0.6611904311380086,No,0.12343490233806388
Overall_Percentage,combined_valence_std,0.12343490233806388,0.6611904311380086,No,0.12343490233806388
Topic_Coverage,combined_intensity_mean_change,-0.12320134507614527,0.6617962709851566,No,0.12320134507614527
Overall_Percentage,fused_dominant_emotion_strength,0.121645990709976,0.6658357604368471,No,0.121645990709976
