Summary_Metric,Fusion_Metric,Correlation,P_Value,Significant,Abs_Correlation
Semantic_Similarity,combined_pct_time_tired,0.06785714285714285,0.8101088187105131,No,0.06785714285714285
Semantic_Similarity,combined_intensity_cv,-0.06785714285714285,0.8101088187105131,No,0.06785714285714285
Semantic_Similarity,combined_intensity_median,-0.06785714285714285,0.8101088187105131,No,0.06785714285714285
Overall_Percentage,combined_arousal_trend_direction,-0.06546536707079771,0.8166952391352937,No,0.06546536707079771
Topic_Coverage,fused_time_in_tired,0.0614315170538905,0.8278291932601991,No,0.0614315170538905
Semantic_Similarity,combined_valence_mean_change,0.06071428571428571,0.8298120954425188,No,0.06071428571428571
Semantic_Similarity,fused_transition_rate,0.06071428571428571,0.8298120954425188,No,0.06071428571428571
Topic_Coverage,combined_valence_variance,0.05962470772877608,0.8328262312438862,No,0.05962470772877608
Topic_Coverage,combined_valence_std,0.05962470772877608,0.8328262312438862,No,0.05962470772877608
Topic_Coverage,combined_arousal_trend_slope,0.05962470772877608,0.8328262312438862,No,0.05962470772877608
Topic_Coverage,combined_arousal_max_change,-0.057817898403661645,0.837829215547996,No,0.057817898403661645
Topic_Coverage,combined_arousal_cv,-0.057817898403661645,0.837829215547996,No,0.057817898403661645
Overall_Percentage,combined_pct_time_stressed,0.05714285714285713,0.8396998687415758,No,0.05714285714285713
Topic_Coverage,combined_arousal_mean,-0.05601108907854721,0.8428379715086751,No,0.05601108907854721
Topic_Coverage,combined_pct_time_stressed,0.054204279753432796,0.8478523239556324,No,0.054204279753432796
Overall_Percentage,combined_time_in_tired,0.05357142857142857,0.8496099367776072,No,0.05357142857142857
Semantic_Similarity,combined_valence_mean,-0.05357142857142857,0.8496099367776072,No,0.05357142857142857
Semantic_Similarity,arousal_modality_agreement,0.049999999999999996,0.859540943467457,No,0.049999999999999996
Overall_Percentage,combined_arousal_trend_slope,-0.049999999999999996,0.859540943467457,No,0.049999999999999996
Topic_Coverage,combined_arousal_trend_direction,-0.04967904299213362,0.8604344017568823,No,0.04967904299213362
Topic_Coverage,fused_overall_volatility,-0.04697704245297509,0.8679621783297105,No,0.04697704245297509
Topic_Coverage,fused_overall_stability,0.04697704245297509,0.8679621783297105,No,0.04697704245297509
Topic_Coverage,combined_intensity_mean,-0.045170233127860664,0.8730018689977733,No,0.045170233127860664
Topic_Coverage,combined_valence_max_change,-0.043363423802746236,0.8780460953520475,No,0.043363423802746236
Topic_Coverage,combined_arousal_median,-0.043363423802746236,0.8780460953520475,No,0.043363423802746236
Semantic_Similarity,fused_overall_volatility,-0.04285714285714285,0.8794603130258999,No,0.04285714285714285
Semantic_Similarity,fused_overall_stability,0.04285714285714285,0.8794603130258999,No,0.04285714285714285
Semantic_Similarity,combined_time_in_calm,-0.04285714285714285,0.8794603130258999,No,0.04285714285714285
Topic_Coverage,combined_valence_trend_slope,-0.04155661447763181,0.8830946791067167,No,0.04155661447763181
Topic_Coverage,combined_intensity_cv,0.04155661447763181,0.8830946791067167,No,0.04155661447763181
Topic_Coverage,combined_valence_range,0.03974980515251739,0.8881474415928627,No,0.03974980515251739
Topic_Coverage,combined_arousal_mean_change,0.03974980515251739,0.8881474415928627,No,0.03974980515251739
Semantic_Similarity,combined_pct_time_stressed,0.039285714285714285,0.8894459296739485,No,0.039285714285714285
Topic_Coverage,combined_valence_trend_direction,-0.03903154242510635,0.8901571923821116,No,0.03903154242510635
Factual_Accuracy,fused_time_in_calm,-0.03857583749052298,0.8914326101774065,No,0.03857583749052298
Factual_Accuracy,combined_valence_range,0.03857583749052298,0.8914326101774065,No,0.03857583749052298
Factual_Accuracy,fused_peak_intensity_mean,0.03857583749052298,0.8914326101774065,No,0.03857583749052298
Factual_Accuracy,combined_arousal_total_change,-0.03857583749052298,0.8914326101774065,No,0.03857583749052298
Factual_Accuracy,combined_pct_time_calm,0.03857583749052298,0.8914326101774065,No,0.03857583749052298
Overall_Percentage,combined_valence_trend_direction,-0.03857583749052298,0.8914326101774065,No,0.03857583749052298
Semantic_Similarity,combined_arousal_mean,0.03214285714285714,0.9094621170945906,No,0.03214285714285714
Overall_Percentage,fused_overall_stability,0.03214285714285714,0.9094621170945906,No,0.03214285714285714
Overall_Percentage,combined_intensity_mean,-0.03214285714285714,0.9094621170945906,No,0.03214285714285714
Overall_Percentage,combined_arousal_mean_change,0.03214285714285714,0.9094621170945906,No,0.03214285714285714
Overall_Percentage,fused_overall_volatility,-0.03214285714285714,0.9094621170945906,No,0.03214285714285714
Topic_Coverage,fused_emotional_diversity,-0.03071575852694525,0.913467656739577,No,0.03071575852694525
Overall_Percentage,combined_valence_trend_slope,0.028571428571428564,0.9194899083821857,No,0.028571428571428564
Semantic_Similarity,combined_valence_max_change,-0.028571428571428564,0.9194899083821857,No,0.028571428571428564
Overall_Percentage,combined_intensity_cv,0.024999999999999998,0.9295289708192378,No,0.024999999999999998
Semantic_Similarity,combined_arousal_median,0.021428571428571425,0.9395779040128779,No,0.021428571428571425
Semantic_Similarity,combined_intensity_total_change,0.021428571428571425,0.9395779040128779,No,0.021428571428571425
Semantic_Similarity,fused_emotional_diversity,0.021428571428571425,0.9395779040128779,No,0.021428571428571425
Overall_Percentage,combined_arousal_median,-0.017857142857142853,0.9496353041738621,No,0.017857142857142853
Overall_Percentage,combined_arousal_mean,-0.017857142857142853,0.9496353041738621,No,0.017857142857142853
Topic_Coverage,combined_time_in_tired,0.014454474600915411,0.9592240514869717,No,0.014454474600915411
Overall_Percentage,combined_arousal_cv,-0.010714285714285713,0.9697698761545686,No,0.010714285714285713
Overall_Percentage,combined_intensity_std,-0.007142857142857141,0.9798442277615982,No,0.007142857142857141
Semantic_Similarity,combined_intensity_mean,-0.007142857142857141,0.9798442277615982,No,0.007142857142857141
Overall_Percentage,combined_intensity_variance,-0.007142857142857141,0.9798442277615982,No,0.007142857142857141
Semantic_Similarity,fused_time_in_calm,-0.007142857142857141,0.9798442277615982,No,0.007142857142857141
Semantic_Similarity,combined_valence_cv,-0.007142857142857141,0.9798442277615982,No,0.007142857142857141
Topic_Coverage,combined_intensity_std,-0.003613618650228853,0.9898023518896759,No,0.003613618650228853
Topic_Coverage,combined_intensity_variance,-0.003613618650228853,0.9898023518896759,No,0.003613618650228853
Overall_Percentage,combined_arousal_max,0.0035714285714285704,0.9899214068809781,No,0.0035714285714285704
Semantic_Similarity,combined_intensity_trend_slope,-0.0035714285714285704,0.9899214068809781,No,0.0035714285714285704
Semantic_Similarity,combined_transition_rate,-0.0035714285714285704,0.9899214068809781,No,0.0035714285714285704
Semantic_Similarity,valence_modality_agreement,0.0035714285714285704,0.9899214068809781,No,0.0035714285714285704
Semantic_Similarity,combined_intensity_trend_direction,0.0,1.0,No,0.0
Overall_Percentage,combined_intensity_max_change,0.0,1.0,No,0.0
Overall_Percentage,fused_emotional_diversity,0.0,1.0,No,0.0
Factual_Accuracy,combined_arousal_min,0.0,1.0,No,0.0
Factual_Accuracy,fused_time_in_stressed,0.0,1.0,No,0.0
Factual_Accuracy,combined_intensity_mean_change,0.0,1.0,No,0.0
Factual_Accuracy,combined_intensity_trend_slope,0.0,1.0,No,0.0
Factual_Accuracy,fused_pct_time_calm,0.0,1.0,No,0.0
Factual_Accuracy,combined_time_in_stressed,0.0,1.0,No,0.0
Factual_Accuracy,fused_overall_volatility,0.0,1.0,No,0.0
Factual_Accuracy,fused_overall_stability,0.0,1.0,No,0.0
